        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Image               | AMD                   | 00000000 | 01000000 | B931E0FD |  AMD image
 Image               | AMD                   | 00000000 | 01000000 | B931E0FD | - Embedded firmware structure
 Table               | PSP table             | 00020000 | 0000004C | B881AE73 | -- Firmware entry table
 Region              | PSP file              | 00087000 | 00020000 | 154803CC | -- PSP NVRAM | Type 04h
 Region              | PSP file              | 000A7000 | 00040000 | B7094978 | -- Replay-protected NVRAM | Type 54h
 Table               | Combo table           | 000E7000 | 00000060 | 8B3EAB2A | -- PSP Combo directory table | FET NewPSP
 Table entry         | Combo directory       | 000E7020 | 00000010 | EE0ACE98 | --- 1 - PSP directory table | PspId BC0C0140h
 Table entry         | Combo directory       | 000E7030 | 00000010 | 1C31A433 | --- 2 - PSP directory table | PspId BC0C0000h
 Table entry         | Combo directory       | 000E7040 | 00000010 | 2DB1A41B | --- 3 - PSP directory table | PspId BC0A0000h
 Table entry         | Combo directory       | 000E7050 | 00000010 | EC3F7BDB | --- 4 - PSP directory table | PspId BC0A0100h
 Table               | Combo table           | 000E7800 | 00000040 | 94D15255 | -- BIOS Combo directory table | FET BIOS3
 Table entry         | Combo directory       | 000E7820 | 00000010 | D400AFE8 | --- 1 - BIOS directory table | PspId BC0C0140h
 Table entry         | Combo directory       | 000E7830 | 00000010 | 263BC543 | --- 2 - BIOS directory table | PspId BC0C0000h
 Region              | PSP directory         | 000E8000 | 00100000 | 3D9CFEA0 | -- PSP directory region | PspId BC0A0000h, PspId BC0A0100h
 Table               | PSP table             | 000E8000 | 00000180 | 27908F2B | --- PSP directory table
 Table entry         | PSP directory         | 000E8010 | 00000010 | 08832D79 | ---- 1 - PSP public key | Type 00h
 Table entry         | PSP directory         | 000E8020 | 00000010 | ECC4A11C | ---- 2 - PSP initial bootloader | Type 01h
 Table entry         | PSP directory         | 000E8030 | 00000010 | 96DF9091 | ---- 3 - PSP recovery bootloader | Type 03h
 Table entry         | PSP directory         | 000E8040 | 00000010 | FD10F92E | ---- 4 - SMU firmware | Type 08h
 Table entry         | PSP directory         | 000E8050 | 00000010 | B6FE6C81 | ---- 5 - SMU firmware 2 | Type 12h
 Table entry         | PSP directory         | 000E8060 | 00000010 | 29DBCAA3 | ---- 6 - SMU firmware (1:0) | Type 08h, SubProgram 1h
 Table entry         | PSP directory         | 000E8070 | 00000010 | 93242D9D | ---- 7 - SMU firmware 2 (1:0) | Type 12h, SubProgram 1h
 Table entry         | PSP directory         | 000E8080 | 00000010 | 4ADD9DC5 | ---- 8 - SMU firmware (2:0) | Type 08h, SubProgram 2h
 Table entry         | PSP directory         | 000E8090 | 00000010 | 3CA56D97 | ---- 9 - SMU firmware 2 (2:0) | Type 12h, SubProgram 2h
 Table entry         | PSP directory         | 000E80A0 | 00000010 | 84165B22 | ---- 10 - Wrapped IKeK | Type 21h
 Table entry         | PSP directory         | 000E80B0 | 00000010 | 0665242F | ---- 11 - Token unlock | Type 22h
 Table entry         | PSP directory         | 000E80C0 | 00000010 | 29A08060 | ---- 12 - Security gasket firmware | Type 24h
 Table entry         | PSP directory         | 000E80D0 | 00000010 | D4DDA27C | ---- 13 - Security gasket firmware (1:0) | Type 24h, SubProgram 1h
 Table entry         | PSP directory         | 000E80E0 | 00000010 | 56BCFC55 | ---- 14 - Security gasket firmware (2:0) | Type 24h, SubProgram 2h
 Table entry         | PSP directory         | 000E80F0 | 00000010 | 21CEFCE4 | ---- 15 - AGESA bootloader stage 0 | Type 30h
 Table entry         | PSP directory         | 000E8100 | 00000010 | C098831D | ---- 16 - AGESA bootloader stage 1 | Type 31h
 Table entry         | PSP directory         | 000E8110 | 00000010 | 27A5C9C2 | ---- 17 - AGESA bootloader stage 2 | Type 32h
 Table entry         | PSP directory         | 000E8120 | 00000010 | 0416DF04 | ---- 18 - AGESA bootloader stage 3 | Type 33h
 Table entry         | PSP directory         | 000E8130 | 00000010 | E142F4A5 | ---- 19 - AGESA bootloader stage 4 | Type 34h
 Table entry         | PSP directory         | 000E8140 | 00000010 | 44F5C858 | ---- 20 - AGESA bootloader stage 5 | Type 35h
 Table entry         | PSP directory         | 000E8150 | 00000010 | 862B8156 | ---- 21 - AGESA bootloader stage 6 | Type 36h
 Table entry         | PSP directory         | 000E8160 | 00000010 | A67ECBED | ---- 22 - AGESA bootloader stage 7 | Type 37h
 Table entry         | PSP directory         | 000E8170 | 00000010 | 2CB141DB | ---- 23 - PSP L2 directory table | Type 40h
 Region              | PSP file              | 000E8400 | 00000240 | 0B4C5008 | --- PSP public key | Type 00h
